"Isotope Ratio Software Data Dump."
"Copyright (C) Micromass UK Ltd
"Bead Number:              1"
"Sample Indentifier:     SRM 987 210 ng"
"Date:                    6 January 1980"
"Time:                   22:33:03"
 
"Rejection % of Data  :  10.00"
"Sigma Rejection Level:   2.00"
"ADS Analysis Name    : SRBLB"
"DataDump Filename    : DY01-0CA.DAT"
"Level: Cycle Data"
"Data Starts Here"
"" " Low 2 " " Low 1 " " Axial " " High 1" " High 2" " High 3" " High 4" 
"Gains       :"  1.00094978E+000  9.91043874E-001  1.00000000E+000  1.00317550E+000  1.00241847E+000  9.97871693E-001  9.96454264E-001 
"Efficiencies:"  1.00000000E+000  1.00000000E+000  1.00000000E+000  1.00000000E+000  1.00000000E+000  1.00000000E+000  1.00000000E+000 


"Baselines for this Block"
"Collector" " Low 2 " " Low 1 " " Axial " " High 1" " High 2" " High 3" " High 4" 
1 3.752708E-004 1.454353E-004 3.376007E-004 -4.599094E-004 -3.170967E-004 4.172325E-004 -3.673315E-003 

"Block" "Function" "Mean Bf" "%SdErrB" "Mean Af" "%SdErrA" "No After" "No Before"
1 "86/88 Scan 2"    0.1206988   0.0075    0.1206988   0.0075  10  10
1 "87/86 Avg exp corr"    0.7102563   0.0051    0.7102563   0.0051  10  10
1 "87/86 S 1-2 exp corr"    0.7102823   0.0045    0.7102823   0.0045  10  10
1 "87/86 S 2-3 exp corr"    0.7102302   0.0066    0.7102302   0.0066  10  10
1 "84/86 Dyn exp corr"    0.0568646   0.1053    0.0568646   0.1053  10  10
1 "Stat 87/86 S-1 exp"    0.7100489   0.0060    0.7100133   0.0038   9  10
1 "Stat 87/86 S-2 exp"    0.7107046   0.0063    0.7107384   0.0046   9  10
1 "Stat 87/86 S-3 exp"    0.7123454   0.0468    0.7123454   0.0468  10  10
1 "Stat 84/86 exp corr"    0.0564488   0.0374    0.0564488   0.0374  10  10
1 "Dyn 84/86 power law"    0.0569096   0.1029    0.0569096   0.1029  10  10
1 "Dyn 84/88 power law"    0.0067453   0.0380    0.0067453   0.0380  10  10
1 "87Rb ppm L2-S2"  222.5291952  18.2425  222.5291952  18.2425  10  10
1 "88Sr volts S-3"    2.7282351   1.0134    2.7282351   1.0134  10  10

"Individual Ratios for this Block:"
"F0" "FG" "FH" "FI" "FK" "FL" "FM" "FN" "FO" "FP" "FQ" "FR" "FS" 
1.206707631E-001  7.101943132E-001  7.102061724E-001  7.101824541E-001  5.658592138E-002  7.099724969E-001  7.106309833E-001  7.104139519E-001  5.647690407E-002  5.663078602E-002  6.748688865E-003  1.820487110E+002  2.873030664E+000
1.206552739E-001  7.103136749E-001  7.102518776E-001  7.103754723E-001  5.652812451E-002  7.100178693E-001  7.107989402E-001  7.111259763E-001  5.634033007E-002  5.659249423E-002  6.734695623E-003  2.533823178E+002  2.821063043E+000
1.207092937E-001  7.103012797E-001  7.102769802E-001  7.103255793E-001  5.672288292E-002  7.099021076E-001  7.108102994E-001  7.117499238E-001  5.641686336E-002  5.676294449E-002  6.740931031E-003  2.128334538E+002  2.785773278E+000
1.206679503E-001  7.103876295E-001  7.103492493E-001  7.104260098E-001  5.686022811E-002  7.101781382E-001  7.107598150E-001  7.122396997E-001  5.651541617E-002  5.691314302E-002  6.754220418E-003  3.403021634E+002  2.755524160E+000
1.206921632E-001  7.102922640E-001  7.103412703E-001  7.102432578E-001  5.695259882E-002  7.100784044E-001  7.108048488E-001  7.120828922E-001  5.656644852E-002  5.699953921E-002  6.759600635E-003  3.693937316E+002  2.753730298E+000
1.207085031E-001  7.101718482E-001  7.102732133E-001  7.100704831E-001  5.700183859E-002  7.100145867E-001  7.107400648E-001  7.126488426E-001  5.647980773E-002  5.705022821E-002  6.749413849E-003  4.496943695E+002  2.729415179E+000
1.207116887E-001  7.103084494E-001  7.103471265E-001  7.102697723E-001  5.693263570E-002  7.100356086E-001  7.107841098E-001  7.126450338E-001  5.646861250E-002  5.696751027E-002  6.746482418E-003  8.775742332E+001  2.688943864E+000
1.207059417E-001  7.104123927E-001  7.104762153E-001  7.103485701E-001  5.698609086E-002  7.103694654E-001  7.107908313E-001  7.135059825E-001  5.640845716E-002  5.703439078E-002  6.740878338E-003  7.215668709E+001  2.648664476E+000
1.207544535E-001  7.100723091E-001  7.101580713E-001  7.099865468E-001  5.698275341E-002  7.099655830E-001  7.104006092E-001  7.133469102E-001  5.637704620E-002  5.700585380E-002  6.734148185E-003  1.173701510E+002  2.620819331E+000
1.207122926E-001  7.101085603E-001  7.101429999E-001  7.100741207E-001  5.709269733E-002  7.099550891E-001  7.105253456E-001  7.136950864E-001  5.643840657E-002  5.713896936E-002  6.744207309E-003  1.403529433E+002  2.605386258E+000

"Grand" "Function" "Mean Bf" "%SdErrB" "Mean Af" "%SdErrA" "No After" "No Before"
"" "86/88 Scan 2"    0.1206988   0.0075    0.1206988   0.0075  10  10
"" "87/86 Avg exp corr"    0.7102563   0.0051    0.7102563   0.0051  10  10
"" "87/86 S 1-2 exp corr"    0.7102823   0.0045    0.7102823   0.0045  10  10
"" "87/86 S 2-3 exp corr"    0.7102302   0.0066    0.7102302   0.0066  10  10
"" "84/86 Dyn exp corr"    0.0568646   0.1053    0.0568646   0.1053  10  10
"" "Stat 87/86 S-1 exp"    0.7100489   0.0060    0.7100133   0.0038   9  10
"" "Stat 87/86 S-2 exp"    0.7107046   0.0063    0.7107384   0.0046   9  10
"" "Stat 87/86 S-3 exp"    0.7123454   0.0468    0.7123454   0.0468  10  10
"" "Stat 84/86 exp corr"    0.0564488   0.0374    0.0564488   0.0374  10  10
"" "Dyn 84/86 power law"    0.0569096   0.1029    0.0569096   0.1029  10  10
"" "Dyn 84/88 power law"    0.0067453   0.0380    0.0067453   0.0380  10  10
"" "87Rb ppm L2-S2"  222.5291952  18.2425  222.5291952  18.2425  10  10
"" "88Sr volts S-3"    2.7282351   1.0134    2.7282351   1.0134  10  10

"Baselines for this Block"
"Collector" " Low 2 " " Low 1 " " Axial " " High 1" " High 2" " High 3" " High 4" 
1 3.831387E-004 1.392365E-004 3.631115E-004 -4.353523E-004 -3.154278E-004 4.124641E-004 -3.655672E-003 

"Block" "Function" "Mean Bf" "%SdErrB" "Mean Af" "%SdErrA" "No After" "No Before"
2 "86/88 Scan 2"    0.1206043   0.0067    0.1206102   0.0052   9  10
2 "87/86 Avg exp corr"    0.7102545   0.0033    0.7102545   0.0033  10  10
2 "87/86 S 1-2 exp corr"    0.7102488   0.0045    0.7102488   0.0045  10  10
2 "87/86 S 2-3 exp corr"    0.7102603   0.0033    0.7102603   0.0033  10  10
2 "84/86 Dyn exp corr"    0.0564577   0.0469    0.0564577   0.0469  10  10
2 "Stat 87/86 S-1 exp"    0.7099588   0.0047    0.7099588   0.0047  10  10
2 "Stat 87/86 S-2 exp"    0.7107444   0.0055    0.7107444   0.0055  10  10
2 "Stat 87/86 S-3 exp"    0.7100418   0.0042    0.7100418   0.0042  10  10
