"Isotope Ratio Software Data Dump."
"Copyright (C) Micromass UK Ltd
"Bead Number:              1"
"Sample Indentifier:     SRM 987 210 ng"
"Date:                    7 January 1980"
"Time:                   17:22:19"
 
"Rejection % of Data  :  10.00"
"Sigma Rejection Level:   2.00"
"ADS Analysis Name    : SRBLB"
"DataDump Filename    : DY01-0D1.DAT"
"Level: Cycle Data"
"Data Starts Here"
"" " Low 2 " " Low 1 " " Axial " " High 1" " High 2" " High 3" " High 4" 
"Gains       :"  1.00094978E+000  9.91043874E-001  1.00000000E+000  1.00317550E+000  1.00241847E+000  9.97871693E-001  9.96454264E-001 
"Efficiencies:"  1.00000000E+000  1.00000000E+000  1.00000000E+000  1.00000000E+000  1.00000000E+000  1.00000000E+000  1.00000000E+000 


"Baselines for this Block"
"Collector" " Low 2 " " Low 1 " " Axial " " High 1" " High 2" " High 3" " High 4" 
1 3.836155E-004 1.330376E-004 3.199577E-004 -4.649162E-004 -3.082752E-004 4.057884E-004 -3.623247E-003 

"Block" "Function" "Mean Bf" "%SdErrB" "Mean Af" "%SdErrA" "No After" "No Before"
1 "86/88 Scan 2"    0.1204561   0.0023    0.1204561   0.0023  10  10
1 "87/86 Avg exp corr"    0.7102689   0.0025    0.7102689   0.0025  10  10
1 "87/86 S 1-2 exp corr"    0.7102349   0.0032    0.7102349   0.0032  10  10
1 "87/86 S 2-3 exp corr"    0.7103028   0.0023    0.7103028   0.0023  10  10
1 "84/86 Dyn exp corr"    0.0564539   0.0332    0.0564539   0.0332  10  10
1 "Stat 87/86 S-1 exp"    0.7100336   0.0046    0.7100336   0.0046  10  10
1 "Stat 87/86 S-2 exp"    0.7106332   0.0043    0.7106332   0.0043  10  10
1 "Stat 87/86 S-3 exp"    0.7101200   0.0052    0.7101468   0.0041   9  10
1 "Stat 84/86 exp corr"    0.0564303   0.0364    0.0564303   0.0364  10  10
1 "Dyn 84/86 power law"    0.0564973   0.0334    0.0564973   0.0334  10  10
1 "Dyn 84/88 power law"    0.0067430   0.0369    0.0067430   0.0369  10  10
1 "87Rb ppm L2-S2" -2.44054E-01 999.9999 -2.44054E-01 999.9999  10  10
1 "88Sr volts S-3"    2.8354564   0.2203    2.8354564   0.2203  10  10

"Individual Ratios for this Block:"
"F0" "FG" "FH" "FI" "FK" "FL" "FM" "FN" "FO" "FP" "FQ" "FR" "FS" 
1.204599379E-001  7.102243087E-001  7.101728378E-001  7.102757795E-001  5.649550170E-002  7.100098112E-001  7.106289412E-001  7.100029869E-001  5.648264786E-002  5.655448985E-002  6.751069736E-003  2.304402830E+000  2.797688009E+000
1.204502495E-001  7.101829532E-001  7.101250587E-001  7.102408478E-001  5.653558259E-002  7.099137768E-001  7.105129125E-001  7.100589358E-001  5.652114016E-002  5.657565133E-002  6.753407120E-003  2.213918637E+001  2.815531970E+000
1.204688006E-001  7.102731757E-001  7.102731723E-001  7.102731790E-001  5.653573769E-002  7.101241560E-001  7.105889315E-001  7.101425765E-001  5.650607035E-002  5.657442075E-002  6.751441133E-003  1.404974194E+001  2.826054336E+000
1.204602712E-001  7.103554840E-001  7.103341474E-001  7.103768205E-001  5.640106457E-002  7.101120873E-001  7.106889003E-001  7.102702361E-001  5.636821902E-002  5.643405725E-002  6.734302383E-003 -5.261465161E+001  2.833801271E+000
1.204402739E-001  7.103130099E-001  7.103138139E-001  7.103122058E-001  5.643313807E-002  7.100231673E-001  7.108235922E-001  7.098787242E-001  5.642072160E-002  5.647987663E-002  6.742213516E-003  3.705620872E+001  2.838861228E+000
1.204452815E-001  7.102704642E-001  7.102649237E-001  7.102760047E-001  5.646913552E-002  7.102056146E-001  7.105246115E-001  7.100963874E-001  5.645809798E-002  5.651296019E-002  6.746328542E-003  1.619502996E+001  2.853544475E+000
1.204584313E-001  7.103043047E-001  7.102466894E-001  7.103619199E-001  5.634555470E-002  7.099967909E-001  7.107203852E-001  7.102434904E-001  5.630722895E-002  5.639318099E-002  6.728765847E-003 -4.464021964E+001  2.859087468E+000
1.204546409E-001  7.102107525E-001  7.101387962E-001  7.102827088E-001  5.645192561E-002  7.098515957E-001  7.105810166E-001  7.101345196E-001  5.642790811E-002  5.648848944E-002  6.741856092E-003  3.147950065E+001  2.861497165E+000
1.204652011E-001  7.102242774E-001  7.101946560E-001  7.102538988E-001  5.645417593E-002  7.100111974E-001  7.105789447E-001  7.101606763E-001  5.641708138E-002  5.649826984E-002  6.741460870E-003  1.881493781E+000  2.837286950E+000
1.204576488E-001  7.103299048E-001  7.102852130E-001  7.103745965E-001  5.641757460E-002  7.100878085E-001  7.106833333E-001  7.102114586E-001  5.639429887E-002  5.646153324E-002  6.738725781E-003 -3.029123758E+001  2.831211330E+000

"Grand" "Function" "Mean Bf" "%SdErrB" "Mean Af" "%SdErrA" "No After" "No Before"
"" "86/88 Scan 2"    0.1204561   0.0023    0.1204561   0.0023  10  10
"" "87/86 Avg exp corr"    0.7102689   0.0025    0.7102689   0.0025  10  10
"" "87/86 S 1-2 exp corr"    0.7102349   0.0032    0.7102349   0.0032  10  10
"" "87/86 S 2-3 exp corr"    0.7103028   0.0023    0.7103028   0.0023  10  10
"" "84/86 Dyn exp corr"    0.0564539   0.0332    0.0564539   0.0332  10  10
"" "Stat 87/86 S-1 exp"    0.7100336   0.0046    0.7100336   0.0046  10  10
"" "Stat 87/86 S-2 exp"    0.7106332   0.0043    0.7106332   0.0043  10  10
"" "Stat 87/86 S-3 exp"    0.7101200   0.0052    0.7101468   0.0041   9  10
"" "Stat 84/86 exp corr"    0.0564303   0.0364    0.0564303   0.0364  10  10
"" "Dyn 84/86 power law"    0.0564973   0.0334    0.0564973   0.0334  10  10
"" "Dyn 84/88 power law"    0.0067430   0.0369    0.0067430   0.0369  10  10
"" "87Rb ppm L2-S2" -2.44054E-01 999.9999 -2.44054E-01 999.9999  10  10
"" "88Sr volts S-3"    2.8354564   0.2203    2.8354564   0.2203  10  10

"Baselines for this Block"
"Collector" " Low 2 " " Low 1 " " Axial " " High 1" " High 2" " High 3" " High 4" 
1 3.857613E-004 1.528263E-004 3.242493E-004 -4.661083E-004 -3.025532E-004 4.234314E-004 -3.635645E-003 

"Block" "Function" "Mean Bf" "%SdErrB" "Mean Af" "%SdErrA" "No After" "No Before"
2 "86/88 Scan 2"    0.1204465   0.0033    0.1204465   0.0033  10  10
2 "87/86 Avg exp corr"    0.7102883   0.0024    0.7102883   0.0024  10  10
2 "87/86 S 1-2 exp corr"    0.7102893   0.0032    0.7102893   0.0032  10  10
2 "87/86 S 2-3 exp corr"    0.7102873   0.0032    0.7102873   0.0032  10  10
2 "84/86 Dyn exp corr"    0.0564588   0.0292    0.0564588   0.0292  10  10
2 "Stat 87/86 S-1 exp"    0.7100827   0.0062    0.7100827   0.0062  10  10
2 "Stat 87/86 S-2 exp"    0.7106604   0.0036    0.7106604   0.0036  10  10
2 "Stat 87/86 S-3 exp"    0.7100631   0.0057    0.7100631   0.0057  10  10
